Type,Name,Age(months),Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,PetID,PhotoAmt,Breed1_Name,Color1_Name,Color,Breed,AgeGroup,FeeCategory,image_paths
Dog,Max,78,Male,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,100,1fd342e17,2,Terrier,Black,Black White ,Terrier/Shih Tzu,Adult,Low,"['input/images/1fd342e17-1.jpg', 'input/images/1fd342e17-2.jpg']"
Cat,Brownie,6,Female,Small,Short,Yes,Yes,Yes,Healthy,470,b38a74866,1,Domestic Short Hair,Brown,Brown  ,Domestic Short Hair,Kitten,Medium,['input/images/b38a74866-1.jpg']
Dog,Godiva,12,Female,Medium,Medium,No,Yes,Yes,Healthy,200,6436c1a59,7,Mixed Breed,Brown,Brown White ,Mixed Breed,Puppy,Low,"['input/images/6436c1a59-1.jpg', 'input/images/6436c1a59-2.jpg', 'input/images/6436c1a59-3.jpg', 'input/images/6436c1a59-4.jpg', 'input/images/6436c1a59-5.jpg', 'input/images/6436c1a59-6.jpg', 'input/images/6436c1a59-7.jpg']"
Cat,Cikenet,3,Male,Small,Short,No,Yes,No,Healthy,490,988988d5b,19,Domestic Short Hair,Brown,Brown White ,Domestic Short Hair,Kitten,Medium,"['input/images/988988d5b-1.jpg', 'input/images/988988d5b-10.jpg', 'input/images/988988d5b-11.jpg', 'input/images/988988d5b-12.jpg', 'input/images/988988d5b-13.jpg', 'input/images/988988d5b-14.jpg', 'input/images/988988d5b-15.jpg', 'input/images/988988d5b-16.jpg', 'input/images/988988d5b-17.jpg', 'input/images/988988d5b-18.jpg', 'input/images/988988d5b-19.jpg', 'input/images/988988d5b-2.jpg', 'input/images/988988d5b-3.jpg', 'input/images/988988d5b-4.jpg', 'input/images/988988d5b-5.jpg', 'input/images/988988d5b-6.jpg', 'input/images/988988d5b-7.jpg', 'input/images/988988d5b-8.jpg', 'input/images/988988d5b-9.jpg']"
Cat,Garfield,36,Male,Large,Medium,Yes,Yes,Yes,Healthy,270,cf7d3eec0,3,Persian,Golden,Golden  ,Persian/British Shorthair,Adult,Medium,"['input/images/cf7d3eec0-1.jpg', 'input/images/cf7d3eec0-2.jpg', 'input/images/cf7d3eec0-3.jpg']"
Cat,Unknown,2,Male,Medium,Medium,No,No,No,Healthy,280,85fc3c314,11,Persian,Golden,Golden  ,Persian/Domestic Medium Hair,Kitten,Medium,"['input/images/85fc3c314-1.jpg', 'input/images/85fc3c314-10.jpg', 'input/images/85fc3c314-11.jpg', 'input/images/85fc3c314-2.jpg', 'input/images/85fc3c314-3.jpg', 'input/images/85fc3c314-4.jpg', 'input/images/85fc3c314-5.jpg', 'input/images/85fc3c314-6.jpg', 'input/images/85fc3c314-7.jpg', 'input/images/85fc3c314-8.jpg', 'input/images/85fc3c314-9.jpg']"
Cat,Unknown,1,Female,Medium,Short,No,No,No,Healthy,720,efbf1703a,2,Domestic Short Hair,Black,Black  ,Domestic Short Hair,Kitten,High,"['input/images/efbf1703a-1.jpg', 'input/images/efbf1703a-2.jpg']"
Cat,Pepper,1,Female,Small,Short,No,Yes,No,Healthy,360,d341fbfd6,1,Domestic Short Hair,Brown,Brown White ,Domestic Short Hair,Kitten,Medium,['input/images/d341fbfd6-1.jpg']
Cat,Kekok,1,Male,Small,Short,No,No,No,Healthy,430,edb920079,1,Domestic Short Hair,Black,Black  ,Domestic Short Hair,Kitten,Medium,['input/images/edb920079-1.jpg']
Cat,Tom,12,Female,Medium,Long,No,No,No,Healthy,720,0737e4f11,5,Domestic Long Hair,Gray,Gray  ,Domestic Long Hair,Kitten,High,"['input/images/0737e4f11-1.jpg', 'input/images/0737e4f11-2.jpg', 'input/images/0737e4f11-3.jpg', 'input/images/0737e4f11-4.jpg', 'input/images/0737e4f11-5.jpg']"
Cat,Comel,2,Female,Small,Medium,No,No,No,Healthy,50,eabb13cea,3,Domestic Medium Hair,Brown,Brown  ,Domestic Medium Hair,Kitten,Low,"['input/images/eabb13cea-1.jpg', 'input/images/eabb13cea-2.jpg', 'input/images/eabb13cea-3.jpg']"
Dog,WHISKY,12,Male,Medium,Short,No,No,No,Healthy,240,deff069a2,4,Mixed Breed,Black,Black  ,Mixed Breed,Puppy,Medium,"['input/images/deff069a2-1.jpg', 'input/images/deff069a2-2.jpg', 'input/images/deff069a2-3.jpg', 'input/images/deff069a2-4.jpg']"
Cat,Angel,2,Female,Medium,Medium,No,Yes,No,Healthy,220,ace21b6b1,13,Domestic Medium Hair,White,White  ,Domestic Medium Hair/Domestic Short Hair,Kitten,Medium,"['input/images/ace21b6b1-1.jpg', 'input/images/ace21b6b1-10.jpg', 'input/images/ace21b6b1-11.jpg', 'input/images/ace21b6b1-12.jpg', 'input/images/ace21b6b1-13.jpg', 'input/images/ace21b6b1-2.jpg', 'input/images/ace21b6b1-3.jpg', 'input/images/ace21b6b1-4.jpg', 'input/images/ace21b6b1-5.jpg', 'input/images/ace21b6b1-6.jpg', 'input/images/ace21b6b1-7.jpg', 'input/images/ace21b6b1-8.jpg', 'input/images/ace21b6b1-9.jpg']"
Dog,Jack,5,Male,Medium,Short,Yes,Yes,Yes,Healthy,250,671ffc570,6,Jack Russell Terrier,White,White  ,Jack Russell Terrier/Mixed Breed,Puppy,Medium,"['input/images/671ffc570-1.jpg', 'input/images/671ffc570-2.jpg', 'input/images/671ffc570-3.jpg', 'input/images/671ffc570-4.jpg', 'input/images/671ffc570-5.jpg', 'input/images/671ffc570-6.jpg']"
Cat,Cimpuk,5,Male,Small,Long,Yes,Yes,No,Healthy,190,22f6c0ac6,13,Domestic Medium Hair,Yellow,Yellow White ,Domestic Medium Hair,Kitten,Low,"['input/images/22f6c0ac6-1.jpg', 'input/images/22f6c0ac6-10.jpg', 'input/images/22f6c0ac6-11.jpg', 'input/images/22f6c0ac6-12.jpg', 'input/images/22f6c0ac6-13.jpg', 'input/images/22f6c0ac6-2.jpg', 'input/images/22f6c0ac6-3.jpg', 'input/images/22f6c0ac6-4.jpg', 'input/images/22f6c0ac6-5.jpg', 'input/images/22f6c0ac6-6.jpg', 'input/images/22f6c0ac6-7.jpg', 'input/images/22f6c0ac6-8.jpg', 'input/images/22f6c0ac6-9.jpg']"
Cat,Alang,60,Male,Large,Long,Yes,Yes,Yes,Healthy,290,0d25f084f,3,Domestic Long Hair,Black,Black Brown White,Domestic Long Hair,Adult,Medium,"['input/images/0d25f084f-1.jpg', 'input/images/0d25f084f-2.jpg', 'input/images/0d25f084f-3.jpg']"
Cat,Cedric Jones,6,Male,Medium,Short,Yes,Yes,Yes,Healthy,710,7fe8ef73d,1,Domestic Short Hair,Black,Black Brown White,Domestic Short Hair,Kitten,High,['input/images/7fe8ef73d-1.jpg']
Dog,Ceasar,4,Male,Large,Medium,No,No,No,Healthy,270,8ce183889,3,Mixed Breed,Cream,Cream  ,Mixed Breed,Puppy,Medium,"['input/images/8ce183889-1.jpg', 'input/images/8ce183889-2.jpg', 'input/images/8ce183889-3.jpg']"
Dog,Lego,9,Male,Medium,Short,Yes,Yes,Not Sure,Healthy,50,f0ef9c777,2,Mixed Breed,Brown,Brown Cream ,Mixed Breed,Puppy,Low,"['input/images/f0ef9c777-1.jpg', 'input/images/f0ef9c777-2.jpg']"
Dog,Milky,60,Female,Medium,Short,No,No,Yes,Healthy,270,3181e5424,2,Mixed Breed,Brown,Brown Cream ,Mixed Breed,Adult,Medium,"['input/images/3181e5424-1.jpg', 'input/images/3181e5424-2.jpg']"
Dog,Ding Ding,48,Female,Medium,Medium,Yes,Yes,No,Healthy,150,e8d0907ae,5,Shih Tzu,Brown,Brown Cream ,Shih Tzu,Adult,Low,"['input/images/e8d0907ae-1.jpg', 'input/images/e8d0907ae-2.jpg', 'input/images/e8d0907ae-3.jpg', 'input/images/e8d0907ae-4.jpg', 'input/images/e8d0907ae-5.jpg']"
Cat,Unknown,3,Female,Medium,Short,No,No,No,Healthy,580,e540c1ba5,1,Domestic Short Hair,Brown,Brown  ,Domestic Short Hair,Kitten,Medium,['input/images/e540c1ba5-1.jpg']
Cat,Almond,9,Female,Medium,Short,No,No,No,Healthy,270,98a98311c,1,Domestic Short Hair,Brown,Brown White ,Domestic Short Hair,Kitten,Medium,['input/images/98a98311c-1.jpg']
Dog,Ollie,2,Male,Small,Short,Yes,Yes,No,Healthy,210,4e797dcdd,3,Mixed Breed,Black,Black Brown ,Mixed Breed,Puppy,Medium,"['input/images/4e797dcdd-1.jpg', 'input/images/4e797dcdd-2.jpg', 'input/images/4e797dcdd-3.jpg']"
Dog,Zoe,12,Female,Medium,Short,Yes,Yes,Yes,Healthy,150,2c93c0c11,3,Mixed Breed,Brown,Brown  ,Mixed Breed,Puppy,Low,"['input/images/2c93c0c11-1.jpg', 'input/images/2c93c0c11-2.jpg', 'input/images/2c93c0c11-3.jpg']"
Dog,Teddy,3,Male,Small,Long,Yes,Yes,Not Sure,Healthy,140,c30dd6e9a,2,Silky Terrier,Black,Black Brown ,Silky Terrier,Puppy,Low,"['input/images/c30dd6e9a-1.jpg', 'input/images/c30dd6e9a-2.jpg']"
Dog,Cody,3,Male,Medium,Medium,Not Sure,Not Sure,No,Healthy,120,815f4cc08,3,Mixed Breed,Cream,Cream  ,Mixed Breed/Labrador Retriever,Puppy,Low,"['input/images/815f4cc08-1.jpg', 'input/images/815f4cc08-2.jpg', 'input/images/815f4cc08-3.jpg']"
Cat,Malee,6,Female,Medium,Medium,No,Yes,No,Healthy,160,ec5069cf6,4,Domestic Medium Hair,Cream,Cream White ,Domestic Medium Hair,Kitten,Low,"['input/images/ec5069cf6-1.jpg', 'input/images/ec5069cf6-2.jpg', 'input/images/ec5069cf6-3.jpg', 'input/images/ec5069cf6-4.jpg']"
Cat,Lulu,47,Female,Medium,Long,No,No,No,Healthy,590,e9df3ead7,2,Bombay,Black,Black Brown ,Bombay/Persian,Adult,Medium,"['input/images/e9df3ead7-1.jpg', 'input/images/e9df3ead7-2.jpg']"
Dog,Rottweiler Puppy,2,Male,Large,Medium,Not Sure,Not Sure,Not Sure,Healthy,280,258667857,4,Rottweiler,Black,Black Brown ,Rottweiler/Mixed Breed,Puppy,Medium,"['input/images/258667857-1.jpg', 'input/images/258667857-2.jpg', 'input/images/258667857-3.jpg', 'input/images/258667857-4.jpg']"
Dog,Molly,2,Male,Medium,Short,Yes,Yes,No,Healthy,280,8df0bb3b3,18,Mixed Breed,Black,Black White ,Mixed Breed/Dalmatian,Puppy,Medium,"['input/images/8df0bb3b3-1.jpg', 'input/images/8df0bb3b3-10.jpg', 'input/images/8df0bb3b3-11.jpg', 'input/images/8df0bb3b3-12.jpg', 'input/images/8df0bb3b3-13.jpg', 'input/images/8df0bb3b3-14.jpg', 'input/images/8df0bb3b3-15.jpg', 'input/images/8df0bb3b3-16.jpg', 'input/images/8df0bb3b3-17.jpg', 'input/images/8df0bb3b3-18.jpg', 'input/images/8df0bb3b3-2.jpg', 'input/images/8df0bb3b3-3.jpg', 'input/images/8df0bb3b3-4.jpg', 'input/images/8df0bb3b3-5.jpg', 'input/images/8df0bb3b3-6.jpg', 'input/images/8df0bb3b3-7.jpg', 'input/images/8df0bb3b3-8.jpg', 'input/images/8df0bb3b3-9.jpg']"
Cat,Si Kuning,24,Male,Large,Short,No,No,No,Minor Injury,540,370fe2afb,12,Domestic Short Hair,Yellow,Yellow  ,Domestic Short Hair,Adult,Medium,"['input/images/370fe2afb-1.jpg', 'input/images/370fe2afb-10.jpg', 'input/images/370fe2afb-11.jpg', 'input/images/370fe2afb-12.jpg', 'input/images/370fe2afb-2.jpg', 'input/images/370fe2afb-3.jpg', 'input/images/370fe2afb-4.jpg', 'input/images/370fe2afb-5.jpg', 'input/images/370fe2afb-6.jpg', 'input/images/370fe2afb-7.jpg', 'input/images/370fe2afb-8.jpg', 'input/images/370fe2afb-9.jpg']"
Cat,Xiao Huang,24,Female,Medium,Short,No,No,Yes,Healthy,500,dd308e46b,1,Domestic Short Hair,Brown,Brown Yellow ,Domestic Short Hair,Adult,Medium,['input/images/dd308e46b-1.jpg']
Dog,HeiHei,2,Male,Medium,Short,No,No,No,Healthy,290,6a763a055,2,Mixed Breed,Black,Black Brown ,Mixed Breed,Puppy,Medium,"['input/images/6a763a055-1.jpg', 'input/images/6a763a055-2.jpg']"
Cat,Manja,19,Female,Large,Long,Yes,Yes,No,Healthy,90,5e4154870,3,Persian,Black,Black Gray ,Persian,Adult,Low,"['input/images/5e4154870-1.jpg', 'input/images/5e4154870-2.jpg', 'input/images/5e4154870-3.jpg']"
Dog,Miko,4,Female,Small,Long,Not Sure,Yes,Yes,Healthy,100,a44d42407,3,Silky Terrier,Brown,Brown  ,Silky Terrier/Pekingese,Puppy,Low,"['input/images/a44d42407-1.jpg', 'input/images/a44d42407-2.jpg', 'input/images/a44d42407-3.jpg']"
Dog,Fei Chai,24,Male,Medium,Short,No,No,No,Healthy,260,cc8401c02,3,Mixed Breed,Brown,Brown White ,Mixed Breed,Adult,Medium,"['input/images/cc8401c02-1.jpg', 'input/images/cc8401c02-2.jpg', 'input/images/cc8401c02-3.jpg']"
Cat,Unknown,3,Male,Medium,Medium,Not Sure,Not Sure,No,Healthy,300,0f24b6cd6,1,Domestic Medium Hair,Black,Black White ,Domestic Medium Hair,Kitten,Medium,['input/images/0f24b6cd6-1.jpg']
Dog,Sweetie Pie,24,Female,Medium,Medium,Not Sure,Not Sure,Yes,Healthy,330,43ddb2eb4,2,Husky,Black,Black Gray White,Husky/Mixed Breed,Adult,Medium,"['input/images/43ddb2eb4-1.jpg', 'input/images/43ddb2eb4-2.jpg']"
Dog,Jasz Michael,60,Male,Medium,Medium,Yes,Yes,Yes,Healthy,140,dae92dd61,3,Schnauzer,Gray,Gray  ,Schnauzer,Adult,Low,"['input/images/dae92dd61-1.jpg', 'input/images/dae92dd61-2.jpg', 'input/images/dae92dd61-3.jpg']"
Dog,C,1,Female,Medium,Medium,Yes,Yes,No,Healthy,80,a6ac8884b,1,Mixed Breed,Black,Black Brown White,Mixed Breed,Puppy,Low,['input/images/a6ac8884b-1.jpg']
Cat,Honey,3,Female,Small,Short,Yes,Yes,No,Healthy,400,60ce9e319,7,Domestic Short Hair,Brown,Brown Golden ,Domestic Short Hair,Kitten,Medium,"['input/images/60ce9e319-1.jpg', 'input/images/60ce9e319-2.jpg', 'input/images/60ce9e319-3.jpg', 'input/images/60ce9e319-4.jpg', 'input/images/60ce9e319-5.jpg', 'input/images/60ce9e319-6.jpg', 'input/images/60ce9e319-7.jpg']"
Cat,Meelow,2,Male,Small,Medium,No,No,No,Healthy,90,5247209aa,2,Domestic Medium Hair,Golden,Golden  ,Domestic Medium Hair,Kitten,Low,"['input/images/5247209aa-1.jpg', 'input/images/5247209aa-2.jpg']"
Cat,Unknown,2,Female,Medium,Short,No,Yes,No,Healthy,280,4407e70f3,2,Domestic Short Hair,Gray,Gray White ,Domestic Short Hair,Kitten,Medium,"['input/images/4407e70f3-1.jpg', 'input/images/4407e70f3-2.jpg']"
Dog,Pretzel,3,Female,Medium,Short,Yes,Yes,No,Healthy,220,27b6e5aca,4,Mixed Breed,Brown,Brown  ,Mixed Breed,Puppy,Medium,"['input/images/27b6e5aca-1.jpg', 'input/images/27b6e5aca-2.jpg', 'input/images/27b6e5aca-3.jpg', 'input/images/27b6e5aca-4.jpg']"
Cat,Charlie Tux,4,Female,Medium,Short,Yes,Yes,No,Healthy,680,cdab8ba8e,5,Domestic Short Hair,Black,Black White ,Domestic Short Hair/Tuxedo,Kitten,High,"['input/images/cdab8ba8e-1.jpg', 'input/images/cdab8ba8e-2.jpg', 'input/images/cdab8ba8e-3.jpg', 'input/images/cdab8ba8e-4.jpg', 'input/images/cdab8ba8e-5.jpg']"
Dog,Rocket,3,Female,Medium,Short,No,No,No,Healthy,260,f0a2122d4,4,Mixed Breed,Brown,Brown  ,Mixed Breed,Puppy,Medium,"['input/images/f0a2122d4-1.jpg', 'input/images/f0a2122d4-2.jpg', 'input/images/f0a2122d4-3.jpg', 'input/images/f0a2122d4-4.jpg']"
Cat,Unknown,3,Female,Small,Short,No,Yes,No,Healthy,200,b99d5d532,3,Domestic Short Hair,Black,Black Brown White,Domestic Short Hair,Kitten,Low,"['input/images/b99d5d532-1.jpg', 'input/images/b99d5d532-2.jpg', 'input/images/b99d5d532-3.jpg']"
Cat,DIDO,1,Female,Medium,Short,No,Yes,Not Sure,Healthy,750,b9429dc85,4,Domestic Short Hair,Brown,Brown Cream White,Domestic Short Hair,Kitten,High,"['input/images/b9429dc85-1.jpg', 'input/images/b9429dc85-2.jpg', 'input/images/b9429dc85-3.jpg', 'input/images/b9429dc85-4.jpg']"
Dog,Kaiser,36,Male,Large,Short,Yes,Yes,Yes,Healthy,130,e464fcd4b,4,Rottweiler,Black,Black Cream ,Rottweiler,Adult,Low,"['input/images/e464fcd4b-1.jpg', 'input/images/e464fcd4b-2.jpg', 'input/images/e464fcd4b-3.jpg', 'input/images/e464fcd4b-4.jpg']"
Dog,Oscar,12,Male,Medium,Medium,Yes,No,No,Healthy,1050,86379f12f,1,Siberian Husky,Black,Black Gray White,Siberian Husky,Puppy,High,['input/images/86379f12f-1.jpg']
Cat,Zoro,1,Male,Small,Medium,No,No,No,Healthy,140,33db028cb,1,Domestic Medium Hair,Black,Black White ,Domestic Medium Hair,Kitten,Low,['input/images/33db028cb-1.jpg']
Dog,WonderBoy,5,Male,Medium,Short,Yes,Yes,Yes,Healthy,220,35c0c3aca,6,Collie,Cream,Cream White ,Collie/Basenji,Puppy,Medium,"['input/images/35c0c3aca-1.jpg', 'input/images/35c0c3aca-2.jpg', 'input/images/35c0c3aca-3.jpg', 'input/images/35c0c3aca-4.jpg', 'input/images/35c0c3aca-5.jpg', 'input/images/35c0c3aca-6.jpg']"
Dog,Ruby,24,Female,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,480,d080818c3,3,German Shepherd Dog,Black,Black Brown ,German Shepherd Dog/Mixed Breed,Adult,Medium,"['input/images/d080818c3-1.jpg', 'input/images/d080818c3-2.jpg', 'input/images/d080818c3-3.jpg']"
Dog,Milo,3,Male,Medium,Medium,Yes,Yes,No,Healthy,100,6f0cb510a,3,Mixed Breed,Brown,Brown  ,Mixed Breed,Puppy,Low,"['input/images/6f0cb510a-1.jpg', 'input/images/6f0cb510a-2.jpg', 'input/images/6f0cb510a-3.jpg']"
Cat,Baby Hak,12,Male,Medium,Medium,No,No,No,Healthy,60,1dfadc371,1,Domestic Medium Hair,Black,Black  ,Domestic Medium Hair,Kitten,Low,['input/images/1dfadc371-1.jpg']
Dog,Polly,4,Female,Medium,Medium,Yes,Yes,Yes,Healthy,190,6d9b202c9,10,Mixed Breed,Black,Black Brown White,Mixed Breed/Bluetick Coonhound,Puppy,Low,"['input/images/6d9b202c9-1.jpg', 'input/images/6d9b202c9-10.jpg', 'input/images/6d9b202c9-2.jpg', 'input/images/6d9b202c9-3.jpg', 'input/images/6d9b202c9-4.jpg', 'input/images/6d9b202c9-5.jpg', 'input/images/6d9b202c9-6.jpg', 'input/images/6d9b202c9-7.jpg', 'input/images/6d9b202c9-8.jpg', 'input/images/6d9b202c9-9.jpg']"
Cat,Manja,7,Female,Medium,Short,Yes,Yes,No,Healthy,240,b36616178,7,Calico,Black,Black Yellow White,Calico/Tortoiseshell,Kitten,Medium,"['input/images/b36616178-1.jpg', 'input/images/b36616178-2.jpg', 'input/images/b36616178-3.jpg', 'input/images/b36616178-4.jpg', 'input/images/b36616178-5.jpg', 'input/images/b36616178-6.jpg', 'input/images/b36616178-7.jpg']"
Cat,Pillo,5,Male,Medium,Long,No,Yes,No,Healthy,240,2ac4dd8c2,5,Domestic Long Hair,Yellow,Yellow  ,Domestic Long Hair,Kitten,Medium,"['input/images/2ac4dd8c2-1.jpg', 'input/images/2ac4dd8c2-2.jpg', 'input/images/2ac4dd8c2-3.jpg', 'input/images/2ac4dd8c2-4.jpg', 'input/images/2ac4dd8c2-5.jpg']"
Dog,Sophieee,60,Female,Medium,Short,Yes,Yes,Yes,Healthy,200,48b418070,2,American Staffordshire Terrier,Black,Black White ,American Staffordshire Terrier,Adult,Low,"['input/images/48b418070-1.jpg', 'input/images/48b418070-2.jpg']"
Dog,Latte,12,Female,Medium,Short,Yes,Yes,Yes,Healthy,60,9a34ddc8b,2,Mixed Breed,Brown,Brown  ,Mixed Breed,Puppy,Low,"['input/images/9a34ddc8b-1.jpg', 'input/images/9a34ddc8b-2.jpg']"
Cat,Cat,17,Female,Small,Short,Not Sure,Not Sure,Yes,Healthy,790,ff9f62e79,3,Domestic Short Hair,Black,Black Brown White,Domestic Short Hair,Adult,High,"['input/images/ff9f62e79-1.jpg', 'input/images/ff9f62e79-2.jpg', 'input/images/ff9f62e79-3.jpg']"
Dog,Winnie,4,Female,Medium,Short,Yes,No,No,Healthy,250,e4abb93bf,2,Mixed Breed,Black,Black White ,Mixed Breed,Puppy,Medium,"['input/images/e4abb93bf-1.jpg', 'input/images/e4abb93bf-2.jpg']"
Cat,Manis,12,Female,Medium,Medium,Not Sure,Yes,Yes,Healthy,120,120805f93,2,Turkish Van,Golden,Golden Cream ,Turkish Van,Kitten,Low,"['input/images/120805f93-1.jpg', 'input/images/120805f93-2.jpg']"
Cat,Tobby,12,Male,Large,Long,No,Yes,No,Healthy,70,2acf3fdce,2,Persian,Black,Black White ,Persian/Siamese,Kitten,Low,"['input/images/2acf3fdce-1.jpg', 'input/images/2acf3fdce-2.jpg']"
Cat,Lily,3,Female,Medium,Short,Yes,Yes,No,Healthy,710,e1ecc1b26,3,Domestic Short Hair,Gray,Gray White ,Domestic Short Hair,Kitten,High,"['input/images/e1ecc1b26-1.jpg', 'input/images/e1ecc1b26-2.jpg', 'input/images/e1ecc1b26-3.jpg']"
Dog,Unknown,36,Female,Large,Medium,Not Sure,Not Sure,Not Sure,Minor Injury,110,9bcd62ef1,4,Doberman Pinscher,Black,Black Brown ,Doberman Pinscher,Adult,Low,"['input/images/9bcd62ef1-1.jpg', 'input/images/9bcd62ef1-2.jpg', 'input/images/9bcd62ef1-3.jpg', 'input/images/9bcd62ef1-4.jpg']"
Dog,Unknown,12,Female,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,220,c3f2f166d,1,Mixed Breed,Cream,Cream White ,Mixed Breed,Puppy,Medium,['input/images/c3f2f166d-1.jpg']
Dog,Scooby,36,Male,Medium,Short,Yes,Yes,Yes,Healthy,180,bb5f471dd,1,Doberman Pinscher,Black,Black  ,Doberman Pinscher,Adult,Low,['input/images/bb5f471dd-1.jpg']
Cat,Unknown,1,Female,Small,Short,No,No,No,Healthy,230,45600eaab,3,Oriental Short Hair,Yellow,Yellow White ,Oriental Short Hair,Kitten,Medium,"['input/images/45600eaab-1.jpg', 'input/images/45600eaab-2.jpg', 'input/images/45600eaab-3.jpg']"
Dog,Nutella,2,Female,Medium,Short,Yes,Yes,No,Healthy,160,d7f938acd,4,Mixed Breed,Brown,Brown  ,Mixed Breed,Puppy,Low,"['input/images/d7f938acd-1.jpg', 'input/images/d7f938acd-2.jpg', 'input/images/d7f938acd-3.jpg', 'input/images/d7f938acd-4.jpg']"
Cat,Aswad,2,Female,Medium,Short,No,Yes,No,Healthy,260,5de61cf6b,3,Domestic Short Hair,Black,Black Cream ,Domestic Short Hair,Kitten,Medium,"['input/images/5de61cf6b-1.jpg', 'input/images/5de61cf6b-2.jpg', 'input/images/5de61cf6b-3.jpg']"
Cat,Sunset,2,Male,Small,Short,No,No,No,Healthy,1230,b9590d4de,1,Siamese,Brown,Brown Cream ,Siamese/Burmese,Kitten,Premium,['input/images/b9590d4de-1.jpg']
Cat,Tabby Male,48,Male,Large,Short,Yes,Yes,No,Healthy,170,987baa1c7,4,Tabby,Black,Black Brown White,Tabby,Adult,Low,"['input/images/987baa1c7-1.jpg', 'input/images/987baa1c7-2.jpg', 'input/images/987baa1c7-3.jpg', 'input/images/987baa1c7-4.jpg']"
Cat,Abu Nawas,1,Male,Medium,Short,No,No,No,Healthy,560,70b3d1f9c,1,Domestic Short Hair,Black,Black Brown ,Domestic Short Hair,Kitten,Medium,['input/images/70b3d1f9c-1.jpg']
Cat,Silvy,5,Female,Medium,Medium,No,No,No,Healthy,690,27456ec0f,4,Domestic Short Hair,Black,Black White ,Domestic Short Hair/Domestic Long Hair,Kitten,High,"['input/images/27456ec0f-1.jpg', 'input/images/27456ec0f-2.jpg', 'input/images/27456ec0f-3.jpg', 'input/images/27456ec0f-4.jpg']"
